Archivo,Línea,Columna,Regla,Severidad,Mensaje
src/generated/prisma/index.d.ts,1292,11,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,1300,30,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,1330,44,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,1348,58,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,1362,47,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,1381,54,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,1388,61,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,1402,42,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,1421,49,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,1428,56,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,1441,40,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,1459,46,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,1547,36,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,1619,34,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,1699,49,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,1699,119,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,1700,49,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
